Media,Strain,Replicate,Timepoint,OD600
MSg,NCIB3610,1,96,1.31
MSg,NCIB3610,2,96,1.32
MSg,NCIB3610,3,96,1.37
MSg,NRS5645,1,12,1.63
MSg,NRS5645,2,12,1.71
MSg,NRS5645,3,12,1.52
MSg,NRS5645,1,24,1.47
MSg,NRS5645,2,24,1.36
MSg,NRS5645,3,24,1.59
MSg,NRS5645,1,48,1.81
MSg,NRS5645,2,48,1.77
MSg,NRS5645,3,48,1.39
MSg,NRS5645,1,72,1.74
MSg,NRS5645,2,72,1.84
MSg,NRS5645,3,72,1.44
MSg,NRS5645,1,96,1.17
MSg,NRS5645,2,96,1.53
MSg,NRS5645,3,96,1.51
MSgg,NCIB3610,4,0,0.01
MSgg,NRS5645,4,0,0.01
MSg,NCIB3610,4,0,0.01
MSg,NRS5645,4,0,0.01
MSgb,NCIB3610,4,0,0.01
MSgb,NRS5645,4,0,0.01
MSbg,NCIB3610,4,0,0.01
MSbg,NRS5645,4,0,0.01
MSbb,NCIB3610,4,0,0.01
MSbb,NRS5645,4,0,0.01
MSgg,NCIB3610,4,12,1.86
MSgg,NCIB3610,5,12,2.16
MSgg,NCIB3610,6,12,1.79
MSgg,NCIB3610,4,24,2.5
MSgg,NCIB3610,5,24,2.28
MSgg,NCIB3610,6,24,2.24
MSgg,NCIB3610,4,48,1.22
MSgg,NCIB3610,5,48,1.25
MSgg,NCIB3610,6,48,1.4
MSgg,NCIB3610,4,72,0.6
MSgg,NCIB3610,5,72,0.4
MSgg,NCIB3610,6,72,0.51
MSgg,NCIB3610,4,96,0.52
MSgg,NCIB3610,5,96,0.55
MSgg,NCIB3610,6,96,0.49
MSgg,NRS5645,4,12,1.91
MSgg,NRS5645,5,12,1.83
MSgg,NRS5645,6,12,1.79
MSgg,NRS5645,4,24,2.12
MSgg,NRS5645,5,24,2.04
MSgg,NRS5645,6,24,2.19
MSgg,NRS5645,4,48,1.124
MSgg,NRS5645,5,48,1.17
MSgg,NRS5645,6,48,1.45
MSgg,NRS5645,4,72,0.58
MSgg,NRS5645,5,72,0.69
MSgg,NRS5645,6,72,0.72
MSgg,NRS5645,4,96,0.53
MSgg,NRS5645,5,96,0.53
MSgg,NRS5645,6,96,0.61
MSgb,NCIB3610,4,12,2.01
MSgb,NCIB3610,5,12,2.46
MSgb,NCIB3610,6,12,2.19
MSgb,NCIB3610,4,24,2.23
MSgb,NCIB3610,5,24,2.11
MSgb,NCIB3610,6,24,2.1
MSgb,NCIB3610,4,48,2.31
MSgb,NCIB3610,5,48,2.5
MSgb,NCIB3610,6,48,2.39
MSgb,NCIB3610,4,72,3.25
MSgb,NCIB3610,5,72,3.36
MSgb,NCIB3610,6,72,3.02
MSgb,NCIB3610,4,96,3.58
MSgb,NCIB3610,5,96,3.8
MSgb,NCIB3610,6,96,3.15
MSgb,NRS5645,4,12,1.88
MSgb,NRS5645,5,12,1.69
MSgb,NRS5645,6,12,1.96
MSgb,NRS5645,4,24,2.23
MSgb,NRS5645,5,24,2.34
MSgb,NRS5645,6,24,2.12
MSgb,NRS5645,4,48,1.47
MSgb,NRS5645,5,48,1.67
MSgb,NRS5645,6,48,1.62
MSgb,NRS5645,4,72,0.99
MSgb,NRS5645,5,72,1.64
MSgb,NRS5645,6,72,1.52
MSgb,NRS5645,4,96,1.2
MSgb,NRS5645,5,96,0.98
MSgb,NRS5645,6,96,0.87
MSbg,NCIB3610,4,12,0.1
MSbg,NCIB3610,5,12,0.09
MSbg,NCIB3610,6,12,0.1
MSbg,NCIB3610,4,24,0.18
MSbg,NCIB3610,5,24,0.15
MSbg,NCIB3610,6,24,0.16
MSbg,NCIB3610,4,48,0.6
MSbg,NCIB3610,5,48,0.71
MSbg,NCIB3610,6,48,0.82
MSbg,NCIB3610,4,72,1.52
MSbg,NCIB3610,5,72,1.28
MSbg,NCIB3610,6,72,1.32
MSbg,NCIB3610,4,96,3.56
MSbg,NCIB3610,5,96,3.28
MSbg,NCIB3610,6,96,3.11
MSbg,NRS5645,4,12,0.02
MSbg,NRS5645,5,12,0.02
MSbg,NRS5645,6,12,0.02
MSbg,NRS5645,4,24,0.04
MSbg,NRS5645,5,24,0.03
MSbg,NRS5645,6,24,0.04
MSbg,NRS5645,4,48,0.04
MSbg,NRS5645,5,48,0.03
MSbg,NRS5645,6,48,0.04
MSbg,NRS5645,4,72,0.04
MSbg,NRS5645,5,72,0.04
MSbg,NRS5645,6,72,0.03
MSbg,NRS5645,4,96,0.04
MSbg,NRS5645,5,96,0.03
MSbg,NRS5645,6,96,0.04
MSbb,NCIB3610,4,12,0.11
MSbb,NCIB3610,5,12,0.13
MSbb,NCIB3610,6,12,0.12
MSbb,NCIB3610,4,24,0.14
MSbb,NCIB3610,5,24,0.14
MSbb,NCIB3610,6,24,0.15
MSbb,NCIB3610,4,48,0.27
MSbb,NCIB3610,5,48,0.3
MSbb,NCIB3610,6,48,0.33
MSbb,NCIB3610,4,72,0.36
MSbb,NCIB3610,5,72,0.44
MSbb,NCIB3610,6,72,0.45
MSbb,NCIB3610,4,96,0.48
MSbb,NCIB3610,5,96,0.51
MSbb,NCIB3610,6,96,0.55
MSbb,NRS5645,4,12,0.02
MSbb,NRS5645,5,12,0.03
MSbb,NRS5645,6,12,0.03
MSbb,NRS5645,4,24,0.04
MSbb,NRS5645,5,24,0.04
MSbb,NRS5645,6,24,0.04
MSbb,NRS5645,4,48,0.03
MSbb,NRS5645,5,48,0.03
MSbb,NRS5645,6,48,0.04
MSbb,NRS5645,4,72,0.07
MSbb,NRS5645,5,72,0.05
MSbb,NRS5645,6,72,0.05
MSbb,NRS5645,4,96,0.04
MSbb,NRS5645,5,96,0.07
MSbb,NRS5645,6,96,0.04
MSg,NCIB3610,4,12,1.02
MSg,NCIB3610,5,12,0.72
MSg,NCIB3610,6,12,0.69
MSg,NCIB3610,4,24,1.1
MSg,NCIB3610,5,24,0.76
MSg,NCIB3610,6,24,0.96
MSg,NCIB3610,4,48,1.97
MSg,NCIB3610,5,48,2.06
MSg,NCIB3610,6,48,2.57
MSg,NCIB3610,4,72,2.39
MSg,NCIB3610,5,72,2.43
MSg,NCIB3610,6,72,2.13
MSg,NCIB3610,4,96,1.66
MSg,NCIB3610,5,96,1.89
MSg,NCIB3610,6,96,1.51
MSg,NRS5645,4,12,1.51
MSg,NRS5645,5,12,1.46
MSg,NRS5645,6,12,1.51
MSg,NRS5645,4,24,1.36
MSg,NRS5645,5,24,1.49
MSg,NRS5645,6,24,1.47
MSg,NRS5645,4,48,1.77
MSg,NRS5645,5,48,1.62
MSg,NRS5645,6,48,1.65
MSg,NRS5645,4,72,1.36
MSg,NRS5645,5,72,1.25
MSg,NRS5645,6,72,1.37
MSg,NRS5645,4,96,0.96
MSg,NRS5645,5,96,0.87
MSg,NRS5645,6,96,1.17
MSgg,NCIB3610,7,0,0.01
MSgg,NRS5645,7,0,0.01
MSg,NCIB3610,7,0,0.01
MSg,NRS5645,7,0,0.01
MSgb,NCIB3610,7,0,0.01
MSgb,NRS5645,7,0,0.01
MSbg,NCIB3610,7,0,0.01
MSbg,NRS5645,7,0,0.01
MSbb,NCIB3610,7,0,0.01
MSbb,NRS5645,7,0,0.01
MSgg,NCIB3610,7,12,1.72
MSgg,NCIB3610,8,12,1.39
MSgg,NCIB3610,9,12,1.62
MSgg,NCIB3610,7,24,1.93
