Timepoint,Strain,Medium,Heat_Treatment,Dilution,Count
12,NRS5645,MSbb,0,0.01,824
12,NRS5645,MSbb,1,0.01,718
12,NRS5645,MSbb,0,0.01,916
12,NRS5645,MSbb,1,0.01,864
24,NCIB3610,MSgb,0,0.0000001,75
24,NCIB3610,MSgb,1,0.0000001,4
24,NCIB3610,MSgb,0,0.0000001,84
24,NCIB3610,MSgb,1,0.0000001,8
24,NCIB3610,MSgb,0,0.0000001,69
24,NCIB3610,MSgb,1,0.0000001,6
24,NRS5645,MSgb,0,0.0000001,24
24,NRS5645,MSgb,1,0.0000001,1
24,NRS5645,MSgb,0,0.0000001,41
24,NRS5645,MSgb,1,0.0000001,7
24,NRS5645,MSgb,0,0.0000001,26
24,NRS5645,MSgb,1,0.0000001,6
24,NCIB3610,MSbb,0,0.001,672
24,NCIB3610,MSbb,1,0.001,556
24,NCIB3610,MSbb,0,0.001,836
24,NCIB3610,MSbb,1,0.001,712
24,NCIB3610,MSbb,0,0.001,820
24,NCIB3610,MSbb,1,0.001,724
24,NRS5645,MSbb,0,0.01,274
24,NRS5645,MSbb,1,0.01,230
24,NRS5645,MSbb,0,0.01,220
24,NRS5645,MSbb,1,0.01,188
24,NRS5645,MSbb,0,0.01,232
24,NRS5645,MSbb,1,0.01,198
48,NCIB3610,MSgb,0,0.00001,199
48,NCIB3610,MSgb,1,0.00001,2
48,NCIB3610,MSgb,0,0.00001,122
48,NCIB3610,MSgb,1,0.00001,7
48,NCIB3610,MSgb,0,0.00001,130
48,NCIB3610,MSgb,1,0.00001,13
48,NRS5645,MSgb,0,0.00001,108
48,NRS5645,MSgb,1,0.00001,90
48,NRS5645,MSgb,0,0.00001,115
48,NRS5645,MSgb,1,0.00001,69
48,NRS5645,MSgb,0,0.00001,125
48,NRS5645,MSgb,1,0.00001,108
48,NCIB3610,MSbb,0,0.0001,236
48,NCIB3610,MSbb,1,0.0001,139
48,NCIB3610,MSbb,0,0.0001,267
48,NCIB3610,MSbb,1,0.0001,107
48,NCIB3610,MSbb,0,0.0001,258
48,NCIB3610,MSbb,1,0.0001,194
48,NRS5645,MSbb,0,0.01,212
48,NRS5645,MSbb,1,0.01,207
48,NRS5645,MSbb,0,0.01,145
48,NRS5645,MSbb,1,0.01,140
48,NRS5645,MSbb,0,0.01,213
48,NRS5645,MSbb,1,0.01,189
