Timepoint,Strain,Medium,Concentration,Replicate,Fluo_intensity,Yield
96,NCIB3610,MSgb,1,5,216519,3.1
96,NCIB3610,MSgb,1,6,261138,3.25
12,NRS5645,MSgb,1,5,2910,2.47
12,NRS5645,MSgb,1,6,4344,2.4
48,NRS5645,MSgb,1,5,2437,2.25
48,NRS5645,MSgb,1,6,1780,1.93
96,NRS5645,MSgb,1,5,2393,1.18
96,NRS5645,MSgb,1,6,2081,1.05
12,NCIB3610,MSbg,1,5,3328,0.08
12,NCIB3610,MSbg,1,6,2613,0.12
48,NCIB3610,MSbg,1,5,106483,2.27
48,NCIB3610,MSbg,1,6,105835,2.33
96,NCIB3610,MSbg,1,5,234863,3.59
96,NCIB3610,MSbg,1,6,233451,3.69
12,NRS5645,MSbg,1,5,2059,0.03
12,NRS5645,MSbg,1,6,2614,0.2
48,NRS5645,MSbg,1,5,1932,0.04
48,NRS5645,MSbg,1,6,1726,0.03
96,NRS5645,MSbg,1,5,4517,0.03
96,NRS5645,MSbg,1,6,4363,0.03
12,NCIB3610,MSbb,1,5,2348,0.08
12,NCIB3610,MSbb,1,6,2046,0.08
48,NCIB3610,MSbb,1,5,68734,0.89
48,NCIB3610,MSbb,1,6,52533,0.93
96,NCIB3610,MSbb,1,5,100801,1.23
96,NCIB3610,MSbb,1,6,147339,1.02
12,NRS5645,MSbb,1,5,3505,0.03
12,NRS5645,MSbb,1,6,2589,0.01
48,NRS5645,MSbb,1,5,1835,0.05
48,NRS5645,MSbb,1,6,2210,0.04
96,NRS5645,MSbb,1,5,5383,0.02
96,NRS5645,MSbb,1,6,3777,0.03
